source_pool_id,product_area,source_reference,observed_units,estimated_independent_lineages,current_trust,rights_status,training_status,primary_gaps,recommended_action
repo_training_records,Training dataset,Repository-wide search: DatasetRecord( and train.jsonl,0 non-test committed records located,0 eligible,None,Not applicable,BLOCKED,"No production DatasetRecord collection, train.jsonl, corpus manifest, rights report, or paid-gate PASS artifact",Build dataset v0 from governed source pools below
printsense_scu2_gold_package,PrintSense,printsense/fixtures/scu2/,1 package from 6 phone photos; graph + explanation + judgment; 94/100,1,All entities proposed,Unresolved; likely private/employer-sensitive until explicitly cleared,BLOCKED,No human_verified promotion; no explicit training_allowed rights; not converted to chat records,Keep as eval/candidate until rights and qualified human verification are explicit
printsense_sheet20_case_study,PrintSense,docs/eval/2026-07-14-printsense-sheet20-case-study.md,1 detailed correction case with preferred technician response and model comparisons,0 additional; same SCU2 drawing family,"Operator-authorized decision record, but source-page identity caveat remains",Unresolved/private until cleared,BLOCKED,Case-study page and benchmark image are different pages; needs exact image-to-answer reconciliation and structured approval,"Convert only after exact source image, answer key, rights, and reviewer approval are pinned"
print_translator_oem_campaign,PrintSense,docs/eval/print-translator-campaign/,25 candidate OEM documents; current manifest says 22 authentic PDFs and 20 handler runs,Up to 22 usable source lineages before rights filtering,Evaluation outputs; not gold training records,Publicly accessible does not equal training_allowed; unresolved,BLOCKED,Copyright/training rights unresolved; historical runs OCR-degraded; no human approval; legacy GAPS report reflects earlier 11-case run,"Resolve rights first, rerun selected pages with production OCR, independently grade, then approve record-by-record"
printsense_potd_real_runs,PrintSense,"PRs #2867, #2869, #2871 and docs/benchmarks/2026-07-22-*",5 real-print crops in one benchmark plus limited staging/judge E2E cases,At least 1; exact lineage count not established,Ungraded or gold-blocked,Case-specific; not inventoried as training_allowed,BLOCKED,No approved_gold examples; one run explicitly gold_candidate=false; crops may share one document lineage,"Use as evaluation evidence until lineage, rights, answer keys, and human decisions are recorded"
drive_commander_gold_sets,Drive Commander,"tools/drive-pack-extract/gold/{durapulse_gs10,powerflex_40,powerflex_525}/gold.json",3 human-approved structured gold references containing dozens of faults and parameters,3,"Human-approved reference data; GS10 includes bench-verified fields, PF40/PF525 manual-cited beta",Training rights not proven by gold status; manuals are copyrighted sources,"CANDIDATE, NOT ELIGIBLE",Not chat interactions; training_allowed rights report absent; needs original technician Q/A generation and approval,Use deterministic pack facts as independent answer keys; write original technician interactions without copying manual prose
drive_commander_live_packs,Drive Commander,mira-bots/shared/drive_packs/packs/,"3 live packs: GS10, PowerFlex 40, PowerFlex 525; Siemens G120 not built in audited inventory",Same 3 as gold sets; do not double-count,Gold reference or beta depending on pack,Per-pack source manifest must explicitly allow training,ANSWER-KEY SOURCE,Only three drive families; no interaction records or safety/refusal mix,"Generate diverse fault, parameter, communications, model-identification, refusal, and troubleshooting cases"
cv101_owned_machine_pack,PrintSense + MIRA,machine-print-pack/examples/cv-101/ and plc/conv_simple_*,1 self-built machine package with structured devices/evidence; approved context model; 14-scenario anomaly harness reported,1 machine/document family,Mixed verified and field_verify evidence,Best rights candidate if FactoryLM/Mike owns the authored materials and photos; must still be declared,HIGH-PRIORITY CANDIDATE,Some field wiring remains unverified; outputs are not DatasetRecord chat examples; original ownership declaration absent from corpus registry,"Declare rights, isolate verified facts, create grounded diagnostic and print Q/A, reserve unresolved facts for refusal examples"
simlab_mira_frozen_benchmarks,MIRA / SimLab,factorylm_ai/adapters/mira_simlab.py and benchmark fixtures,Existing deterministic/frozen evaluation capability,Not counted for training,Eval-only by policy,Public-eval-only / frozen,NEVER TRAIN,Frozen baseline report reference not yet attached to a real paid-gate package,Use only for blind evaluation and promotion decisions
synthetic_interaction_flywheel,Cross-product,factorylm_ai/synth/ and PR #2875,"Contracts, durable state machine, and queue; no generated approved records located",0 generated,Infrastructure only,Depends on each source candidate,NOT PRODUCING DATA YET,"Question generator, blind runner, independent critic, scheduled workflow, gold export, and readiness proof remain unbuilt/unrun",Build only after real-source rights and answer-key independence are enforced end-to-end
organic_user_corrections,Cross-product,Telegram/Slack/Hub/Chat interactions outside audited Git files,Unknown; not accessible or inventoried in this audit,Unknown,Unknown,"Requires consent, tenant policy, redaction, and source provenance",UNINVENTORIED,"No export, deduplication, correction linkage, approval status, or rights classification",Create a read-only interaction inventory before claiming these as training data
