id,sheet,item,verify,severity,status,closed_date,closed_by,as_found,tooling_needed
OI-01,E-005,+24 VDC source terminal on PS1 feeding the input rail,Meter PS1 +24V to 0V = 24 VDC; confirm which terminal feeds the input devices.,functional,open,,,,multimeter
OI-02,E-005,Input common (COM0) grouping + sink vs source jumpering on the Micro820,Confirm which embedded input common serves I-00..I-05 and whether inputs are sink or source; meter COM0 to 0V.,functional,open,,,,multimeter
OI-03,E-005,"All input wire numbers (W200..W205, W24, W0V are PROPOSED)",Read the actual wire markers on the panel; replace proposed numbers with as-built.,functional,open,,,,visual inspection
OI-04,E-005,"Field-device terminal designations (S0 11-12/23-24, SS1 FWD/REV/COM, S2 3-4, B1 BN/BU/BK)",Confirm each device's real terminal markings against its nameplate/datasheet.,functional,open,,,,visual inspection
OI-05,E-005,E-stop architecture between S0 and the PLC,Confirm whether S0 lands directly on I-02/I-03 or via a safety relay; a monitored input is NOT a safety stop (see safety note).,safety_code,open,,,,visual inspection
OI-06,E-005,"Photo-eye B1 device (historically 'unmapped') — make/model, PNP/NPN, powered source",Identify the physical sensor; confirm BN/BU/BK to +24V/0V/I-05; PNP sourcing assumed.,functional,open,,,,visual inspection
OI-07,E-005,Direction selector SS1 physical device (2-pos vs 3-pos FWD-OFF-REV),Confirm selector type and that FWD/REV contacts map to I-00/I-01.,functional,open,,,,visual inspection
OI-08,E-005,Spares I-06..I-11 confirmed unused,Confirm no field wires land on I-06..I-11 (program shows none).,informational,open,,,,visual inspection
OI-09,E-006,Output bank technology + common feeds. +CM0/-CM0/+CM1/-CM1 polarity naming suggests DC transistor banks; devices.yaml io line says 'relay DO' — conflict.,Resolve per 2080-IN009 + meter the bank feed (expect PS1 +24V/0V).,functional,open,,,,multimeter
OI-10,E-006,"Q1 contactor identity — part number, coil voltage, pole count; coil terminal ids A1/A2 are PROPOSED.",Meter coil circuit from O-02.,functional,open,,,,multimeter
OI-11,E-006,PL1/PL2 devices + lamp terminal ids (X1/X2 proposed); S2 lamp terminals.,Meter the light circuits and confirm device markings.,functional,open,,,,multimeter
OI-12,E-006,Confirm no field wires on spare O-04..O-06 (+CM1 bank unused).,"Trace the PLC output block and verify no wires to O-04, O-05, O-06.",informational,open,,,,multimeter (continuity)
OI-13,"E-005, E-006",Re-confirm input AND output map against the live Conv_Simple_1.8 CCW project; v4.0 vintage drift proven on I-05 'Entry sensor' vs live photo-eye.,Open the live Conv_Simple_1.8 CCW project and cross-check every I-xx and O-xx assignment against the drawn functions (I-05 drift already proven; O-02 has independent Prog_init corroboration).,functional,open,,,,CCW laptop (live project)
OI-14,E-003,Q1 contactor placement in the power chain (assumed line side of VFD1 per 'safety power'; could be elsewhere).,Trace conductors on the bench; verify Q1 poles 1-6 actual locations. R-C surge absorber both ends recommended per GS10 manual.,functional,open,,,,multimeter (continuity)
OI-15,E-003,"Supply voltage/receptacle + CB1 existence/type/rating (2-pole, single-phase 230 V branch breaker).",Identify the bench supply; confirm CB1 device and rating. NEC and GS10 manual require upstream protection.,safety_code,open,,,,visual inspection
