timestamp,scenario,state,rule_id,severity,title,message,next_check,evidence,reflash_gated
2026-07-03T07:55:53,healthy_idle,STOPPED,,,(no anomaly),Belt stopped -- no active faults.,,,
2026-07-03T07:55:53,healthy_run,RUNNING,,,(no anomaly),All systems nominal.,,,
2026-07-03T07:55:53,A0_offline,COMMS LOST,A0_OFFLINE,CRITICAL,PLC/bridge offline,No fresh PLC data for 9999s (>= 30s).,Check the PLC bridge / Modbus link and that the gateway is polling the device.,_stale_s=9999.0,
2026-07-03T07:55:53,A1_comm_down,FAULT,A1_COMM_STALE,CRITICAL,GS10 RS-485 link down,vfd_comm_ok is FALSE - the PLC<->GS10 serial link is down; all VFD values are stale (frozen from the last good poll).,Reseat the RS-485 wiring PLC<->GS10; confirm baud/parity; power-cycle the drive.,vfd/vfd101/comm_ok=False,
2026-07-03T07:55:53,A2_vfd_fault_oL,FAULT,A2_VFD_FAULT,HIGH,GS10 drive fault active,GS10 reports fault code 21: oL (overload) - the drive has tripped (0x2100 low byte). Clear the cause and reset the drive.,"Read the GS10 keypad fault, clear the cause, then reset the drive (STOP+RESET).","vfd/vfd101/fault_code=21, vfd/vfd101/warn_code=None",yes
2026-07-03T07:55:53,A3_estop_wiring,FAULT,A3_ESTOP_WIRING,HIGH,E-stop wiring fault,Dual-channel e-stop disagreement (DI_02 NC and DI_03 NO read the SAME) or the wiring-fault flag is set - broken/shorted e-stop wire; drive not permitted.,Inspect the dual-channel e-stop loop for a broken/shorted wire (DI_02 vs DI_03).,"safety/wiring=None, plc/di/di02_estop_nc=True, plc/di/di03_estop_no=True",
2026-07-03T07:55:53,A4_direction,WARNING,A4_DIRECTION_FAULT,MEDIUM,Direction fault,FWD (DI_00) and REV (DI_01) are both commanded - the PLC commands STOP.,Check the FWD/REV selector wiring -- both directions are commanded at once.,"plc/di/di00_fwd=True, plc/di/di01_rev=True",
2026-07-03T07:55:53,A5_illegal_run,FAULT,A5_ILLEGAL_RUN,HIGH,Belt running while not permitted,Motor reports RUNNING but it should not be: e-stop active.,Verify the safety interlock chain; the belt should not run while not permitted.,"motor/m101/running=True, safety/estop=True, safety/wiring=None, safety/contactor_q1=None",
2026-07-03T07:55:53,A6_not_responding,WARNING,A6_DRIVE_NOT_RESPONDING,MEDIUM,Drive not responding to RUN,Command word is RUN (18) for 4s but the motor is not running.,Confirm the GS10 is in remote/RUN-enabled mode and not faulted/locked.,"vfd/vfd101/cmd_word=18, motor/m101/running=False",
2026-07-03T07:55:53,A7_freq_not_tracking,WARNING,A6_DRIVE_NOT_RESPONDING,MEDIUM,Drive not responding to RUN,Command word is RUN (18) for 6s but the motor is not running.,Confirm the GS10 is in remote/RUN-enabled mode and not faulted/locked.,"vfd/vfd101/cmd_word=18, motor/m101/running=None",
2026-07-03T07:55:53,A7_freq_not_tracking,WARNING,A7_FREQ_NOT_TRACKING,MEDIUM,Output Hz not tracking setpoint,"Commanded 30.0 Hz but output is 10.0 Hz (off by 20.0 Hz > 3.0) for 6s - drive not reaching commanded speed (mechanical drag, current-limit, or load).","Check for mechanical drag, a current-limit, or load -- drive can't hold speed.","vfd/vfd101/freq_setpoint=30.0, vfd/vfd101/freq=10.0, vfd/vfd101/current_a=4.5",
2026-07-03T07:55:53,A8_overcurrent,FAULT,A8_OVERCURRENT,HIGH,VFD output over motor FLA,Output current 7.00 A exceeds motor FLA 5.00 A - possible overload/jam (cf. GS10 oL fault 21).,Inspect the belt/rollers for a jam or binding; compare current to motor FLA.,vfd/vfd101/current_a=7.0,
2026-07-03T07:55:53,A9_dc_bus_low,WARNING,A9_DC_BUS,MEDIUM,DC bus voltage out of range,"DC bus 230 V is outside [250, 410] V (nominal ~327 V; low -> GS10 Lvd 12).","Check incoming supply voltage and the GS10 DC-bus (low->Lvd, high->ovd).",vfd/vfd101/dc_bus_v=230.0,
2026-07-03T07:55:53,A10_freq_stuck_zero,WARNING,A6_DRIVE_NOT_RESPONDING,MEDIUM,Drive not responding to RUN,Command word is RUN (18) for 6s but the motor is not running.,Confirm the GS10 is in remote/RUN-enabled mode and not faulted/locked.,"vfd/vfd101/cmd_word=18, motor/m101/running=None",
2026-07-03T07:55:53,A10_freq_stuck_zero,WARNING,A10_FREQ_STUCK_ZERO,MEDIUM,Output frequency stuck at zero,Commanded RUN for 6s but output Hz is still 0 - the drive is not following the run command.,"Drive commanded RUN but 0 Hz out -- check enable, fault latch, output wiring.","vfd/vfd101/freq=0.0, vfd/vfd101/cmd_word=18",
2026-07-03T07:55:53,A12_photoeye_jam,FAULT,A12_PHOTOEYE_JAM,HIGH,Photo-eye soft-stop (jam/blockage),Photo-eye DI_05 latched a soft-stop - an object is blocking the infeed beam (jam/backup); the belt is held stopped until Start re-arms it.,"Clear the object blocking the infeed photo-eye (DI_05), then re-arm with Start.","safety/pe_latched=True, plc/di/di05_photoeye=None",yes
