Device,Terminal,Function,Status,Wires_Touching,Sheets
B1,BK,output (black) -> I-05,field_verify,W505,E-005
B1,BN,+24V (brown),field_verify,—,—
B1,BU,0V (blue),field_verify,—,—
CB1,1,line in L1 (proposed),field_verify,W300,E-003
CB1,2,load out L1 (proposed),field_verify,W303,E-003
CB1,3,line in L2 (proposed),field_verify,W301,E-003
CB1,4,load out L2 (proposed),field_verify,W304,E-003
CB1,5,"line in L3 (proposed, if 3φ)",field_verify,—,—
CB1,6,"load out L3 (proposed, if 3φ)",field_verify,—,—
DB1,+24V-bus,+24 VDC distribution rail (proposed id; fed from PS1.+V),field_verify,"W402, W404",E-004
DB1,0V-bus,0V distribution rail (proposed id; fed from PS1.-V),field_verify,"W403, W405",E-004
M1,PE,motor frame ground,field_verify,W316,E-003
M1,T1,motor lead 1,field_verify,W310,E-003
M1,T2,motor lead 2,field_verify,W311,E-003
M1,T3,motor lead 3 (swap any two to reverse — GS10_UM.txt L1773-1776),field_verify,W312,E-003
PL1,X1,pilot light terminal (proposed),field_verify,W601,E-006
PL1,X2,pilot light terminal (proposed),field_verify,W605,E-006
PL2,X1,pilot light terminal (proposed),field_verify,W602,E-006
PL2,X2,pilot light terminal (proposed),field_verify,W606,E-006
PLC1,+CM0,output bank 0 feed (O-00..O-03),field_verify,W600,E-006
PLC1,+CM1,"output bank 1 feed (O-04..O-06, spare)",field_verify,—,—
PLC1,-CM0,output bank 0 return,field_verify,W609,E-006
PLC1,-CM1,output bank 1 return,field_verify,—,—
PLC1,COM0,Digital-input common (return to 0V),field_verify,W0V,E-005
PLC1,I-00,dir_fwd (Forward selector),verified,W500,E-005
PLC1,I-01,dir_rev (Reverse selector),verified,W501,E-005
PLC1,I-02,E-stop NC channel,verified,W502,E-005
PLC1,I-03,E-stop NO channel,verified,W503,E-005
PLC1,I-04,Run pushbutton (rearm),verified,W504,E-005
PLC1,I-05,Photo-eye (beam blocked -> pe_latched),verified,W505,E-005
PLC1,I-06,spare,verified,—,—
PLC1,I-07,spare,verified,—,—
PLC1,I-08,spare,verified,—,—
PLC1,I-09,spare,verified,—,—
PLC1,I-10,spare,verified,—,—
PLC1,I-11,spare,verified,—,—
PLC1,O-00,LightGreen -> PL1 (running),verified,W601,E-006
PLC1,O-01,LightRed -> PL2 (fault/e-stop),verified,W602,E-006
